iMAG,Ag,logSFR22,logMsT,RVel,Ai,logMHI,Dist,surface_brightness_proxy,e_logMsT,e_iMAG
-19.62,0.73,-0.57,9.34,5839,0.39,9.67,82.8,-18.192551133535655,0.05,0.07
-22.39,1.4,-0.4,10.85,7883,0.77,10.28,107.6,-21.42684399802339,0.11,0.11
-21.66,1.25,0.12,10.39,8621,0.68,9.74,118.0,-20.423259395409733,0.07,0.07
-21.38,1.21,1.5,10.24,6561,0.64,9.29,88.8,-20.00969647872578,0.05,0.07
-23.14,1.59,-0.06,11.1,11223,0.86,10.36,155.2,-22.352973150399915,0.14,0.13
-20.26,0.69,-1.97,10.41,1050,0.48,8.96,13.2,-18.80446095036834,0.09,0.22
-22.86,1.7,0.44,11.07,11941,0.87,10.64,165.4,-21.268557927321122,0.03,0.04
-19.33,0.55,-2.18,9.33,4445,0.34,9.25,62.8,-17.974189272936595,0.06,0.1
-20.85,1.01,-0.15,10.03,6980,0.56,9.79,95.0,-19.69066495941965,0.08,0.09
-21.77,1.27,0.12,10.59,7749,0.7,9.24,105.9,-20.328466589240016,0.05,0.06
-22.08,1.41,0.57,10.64,7247,0.74,10.18,98.6,-20.78301551646208,0.06,0.08
-22.15,1.29,0.02,10.79,11566,0.72,10.27,160.1,-21.381288250630096,0.14,0.14
-22.61,1.59,-0.75,11.02,5243,0.84,10.18,74.1,-20.877132048600135,0.04,0.07
-16.51,0.0,-3.24,8.06,876,0.0,8.81,20.3,-15.258061780218778,0.2,0.46
-20.82,0.85,0.03,10.2,2308,0.53,9.59,33.2,-20.16408933883127,0.2,0.32
-21.34,1.21,-0.07,10.32,6198,0.65,9.95,87.7,-19.748557927321123,0.04,0.06
-21.36,1.1,-1.13,10.45,7749,0.63,9.88,105.6,-20.153934626889267,0.07,0.09
-22.2,1.37,0.26,10.73,7974,0.74,9.77,108.8,-21.23684399802339,0.11,0.11
-19.34,0.54,-1.53,9.29,4446,0.34,9.45,48.1,-18.16499092688566,0.18,0.42
-20.35,0.75,-0.28,9.84,5072,0.46,9.72,78.7,-19.85287285313709,0.27,0.46
-20.37,0.76,0.15,9.92,4955,0.49,9.63,42.1,-19.179414552509073,0.19,0.43
-19.61,0.64,-0.89,9.59,3113,0.37,9.8,44.5,-18.62989478055994,0.21,0.46
-19.73,0.47,-1.0,9.62,4766,0.38,9.46,68.7,-19.152220697591535,0.2,0.22
-16.82,0.0,-2.66,8.41,1034,0.0,8.01,12.7,-15.449696478725782,0.3,0.74
-23.04,1.62,-0.31,11.19,6139,0.89,9.69,105.7,-21.66969647872578,0.19,0.45
-17.68,0.04,-0.57,8.63,3100,0.1,9.19,43.4,-16.075365284569013,0.09,0.22
-22.24,1.38,0.12,10.85,6288,0.76,9.64,94.6,-21.00325939540973,0.2,0.47
-20.54,0.85,-0.31,10.04,5627,0.52,9.5,79.5,-19.112551133535653,0.05,0.07
-22.02,1.26,-0.91,10.72,5294,0.73,9.31,74.7,-20.86066495941965,0.08,0.1
-21.95,1.3,-0.25,10.8,7522,0.73,9.8,102.6,-20.623429372344575,0.06,0.07
-20.32,0.82,-0.84,9.66,6594,0.46,9.9,89.3,-19.742220697591534,0.19,0.18
-18.9,0.42,-0.57,9.22,5483,0.28,9.59,77.5,-17.416682886805663,0.06,0.09
-18.69,0.33,-0.57,9.06,5291,0.24,9.41,74.8,-17.8667406321435,0.14,0.14
-19.35,0.57,-0.57,9.45,6238,0.35,9.33,88.5,-17.785153922833764,0.04,0.06
-19.78,0.73,0.21,9.28,5461,0.39,9.65,77.3,-19.162849805171188,0.18,0.18
-19.83,0.72,-0.57,9.5,877,0.41,8.27,12.9,-18.68643788240281,0.09,0.1
-20.39,0.88,-0.37,9.78,5232,0.5,9.73,73.9,-19.078178677662546,0.07,0.1
-21.63,1.09,0.35,10.63,7556,0.66,9.86,103.1,-20.63305970010658,0.1,0.11
-21.56,1.21,-0.58,10.44,5367,0.67,9.69,95.9,-20.204189272936596,0.18,0.44
-21.8,1.3,0.16,10.62,5257,0.71,10.03,71.5,-20.275586070947764,0.18,0.43
-20.25,0.87,-0.57,9.76,7890,0.48,9.81,107.7,-18.632241894853653,0.03,0.05
-20.09,0.82,-0.99,9.67,5429,0.45,9.62,83.6,-18.690960530161444,0.17,0.42
-22.23,1.41,0.65,10.82,4550,0.77,10.16,74.1,-20.73290874727824,0.18,0.45
-21.46,1.14,-0.04,10.38,3832,0.65,8.78,53.9,-20.348285446846386,0.09,0.13
-21.92,1.3,0.23,10.55,7559,0.71,9.75,103.2,-20.85683066148914,0.09,0.1
-22.25,1.27,0.29,10.72,5076,0.73,9.95,75.2,-21.65245774882375,0.25,0.47
-14.27,0.0,-0.57,7.03,441,0.0,7.65,7.5,-13.126437882402811,0.27,0.64
-21.51,1.12,0.34,10.51,4893,0.65,9.17,68.9,-20.38231095159946,0.1,0.16
