lgMHI,lgMstar,NUVr,lgmust,lgSFR_tot_median,W50cor,INCL,lvir_ratB
9.603,10.709,4.04,9.18,0.39566937,359.0,73.6,-3.651931
8.74,10.539,5.66,9.05,-1.0588461,0.0,35.7,-3.9589133
9.244,10.625,6.16,9.32,-1.3193103,392.0,45.1,-3.8956156
9.418,10.279,3.91,8.8,-1.2048572,300.0,58.1,-3.6742053
9.563,10.743,4.24,9.12,-0.049739297,378.0,48.7,-1.5081779
8.862,10.653,6.08,9.36,-1.070068,0.0,44.8,-4.202645
9.9,10.347,2.28,8.26,0.83816665,128.0,50.5,-1.0362772
10.25,9.929251,1.39,8.18,0.07895351,131.0,33.4,-4.092326
9.67,9.950695,1.95,8.52,-0.23115495,123.0,31.6,-1.5145737
8.661,10.482,6.31,9.47,-1.392675,0.0,67.6,-3.7596009
9.824,10.087,2.37,8.73,0.2351394,240.0,46.1,-0.9114963
9.081,10.693,5.96,9.25,-1.2481928,229.0,24.7,-1.0876944
10.26,10.167,2.48,8.12,0.13945788,307.0,81.2,-3.4615283
9.562,10.631,3.83,8.79,-0.0018404803,368.0,64.4,-3.4781096
8.917,10.4,4.9,8.92,-1.4276515,309.0,39.3,-0.9895935
9.516,10.596,3.13,8.91,0.21606667,275.0,39.6,-3.7196693
9.581,10.372,4.56,9.21,-0.88082904,227.0,45.9,-3.554771
9.72,10.046,2.87,7.99,-0.3609615,389.0,64.2,-3.5668743
9.98,10.383,2.45,8.53,0.37098318,269.0,42.3,-3.6496713
10.05,10.263,2.1,8.08,0.45764863,208.0,64.6,-4.1042023
9.258,10.225,3.36,8.92,0.5039952,248.0,46.2,-3.7306645
9.958,10.078,2.52,8.63,0.15943217,157.0,36.2,-3.655175
10.13,10.711,3.16,8.93,0.31546772,378.0,72.2,-3.4215477
9.05,10.924,6.28,9.22,-1.0859476,0.0,62.7,-1.2146927
9.182,10.601,4.78,8.77,0.61499995,271.0,74.0,-3.7009974
10.36,11.4,3.01,8.98,0.6633225,462.0,57.5,-0.9915826
8.949,10.76,5.56,9.1,-0.8476509,0.0,40.7,-4.323239
9.535,10.35,3.16,8.84,-0.82018614,284.0,38.7,-3.6297204
9.095,10.893,6.29,9.09,-0.8003182,0.0,25.3,-0.44350666
9.501,10.33,4.01,8.98,-0.96465504,316.0,32.9,-3.4931457
9.447,10.805,4.19,9.26,-0.06202266,413.0,57.6,-0.8962669
9.42,10.73,5.1,9.42,0.075523056,371.0,74.0,-0.40959793
9.516,10.745,3.32,8.71,0.61556447,276.0,43.7,-3.9410508
9.57,10.248,2.9,8.65,0.33734176,278.0,53.7,-1.6799201
9.647,10.159,2.81,7.98,-0.35053182,48.0,20.5,-3.7949994
8.67,10.373,5.25,8.93,-1.3798506,0.0,44.9,-3.69628
9.17,9.174895,1.91,7.94,-0.19527456,72.0,56.0,-0.41976145
8.788,10.563,5.57,9.19,-0.8435753,0.0,28.1,-3.7084432
8.781,10.524,5.35,9.41,-1.3024999,0.0,49.6,-0.71427137
9.546,10.262,3.12,8.82,0.22404386,244.0,34.8,-3.346988
10.36,11.272,3.83,8.97,-0.79236615,516.0,73.3,-4.0455823
9.438,10.807,4.72,9.0,-1.0470148,396.0,37.3,-0.48931503
9.549,10.236,2.66,8.43,0.14175265,67.0,22.3,-3.8326735
9.78,10.949,3.75,9.01,-0.43723392,336.0,40.4,-1.5810225
9.135,10.587,6.02,9.06,-1.0613475,362.0,1.6,-0.96629846
9.005,10.908,5.77,9.11,-0.6502009,0.0,39.2,-2.158587
8.642,10.176,5.03,8.93,-1.0877975,0.0,39.7,-0.65529865
9.027,10.868,6.01,9.17,-0.8912752,0.0,57.7,-3.9110436
9.92,10.671,2.13,9.13,0.8342246,205.0,30.1,-4.0964446
10.143,10.068,2.27,8.18,0.24160676,273.0,68.5,-3.5365698
8.743,10.552,6.11,9.27,-1.1522139,0.0,56.2,-4.1782603
9.702,10.887,3.48,8.57,-0.44403654,235.0,44.0,-3.9881458
9.351,11.194,6.31,9.25,-1.0013698,0.0,40.1,-0.6225338
8.736,9.098988,2.9,7.5,-1.225122,39.0,50.1,-0.15914257
8.005,9.407334,4.91,8.35,-0.94041854,107.0,39.0,-0.324246
8.141,9.825233,5.17,8.78,-1.7613139,0.0,51.5,-0.34884423
8.87,10.618,5.42,8.74,-1.0199152,0.0,47.9,-3.8300557
8.954,11.168,6.47,9.75,-0.9796551,0.0,62.9,-1.0158862
8.032,9.283837,5.57,8.26,-1.6834146,0.0,43.8,-0.30583218
8.702,9.716373,5.51,8.99,-2.0964565,196.0,33.1,-0.6560445
7.969,9.062301,3.92,7.83,-1.8816091,0.0,49.0,-0.6772616
9.01,10.04123,3.28,8.53,-0.307441,276.0,69.3,-0.48607197
8.258,9.9475155,5.92,8.75,-1.7677884,0.0,40.9,-0.9491725
7.948,9.351511,5.22,8.62,-1.9292899,0.0,50.3,-0.40861607
8.015,9.340675,5.55,8.45,-2.0686707,0.0,41.5,-0.6689936
8.044,9.169858,4.3,8.77,-1.3196652,0.0,28.0,-0.45539826
9.155,9.084109,2.54,7.59,-1.1528776,193.0,90.0,-0.026450604
7.939,9.249792,3.4,7.98,-0.98184353,62.0,21.6,-0.29818773
9.319,10.833,6.14,9.39,-0.5687929,287.0,46.1,-1.1383638
9.579,10.22,2.83,8.8,-0.2920772,229.0,46.9,-3.6341338
9.381,10.303,2.86,9.21,0.6733617,319.0,67.9,-1.1973814
10.22,10.737,2.34,8.77,0.7235539,261.0,48.0,-1.4603478
9.534,10.641,5.09,8.94,-0.77005976,354.0,74.1,-3.752801
9.525,10.9,5.89,9.39,-1.189735,220.0,56.7,-0.8001863
8.952,10.853,5.84,9.14,-1.3923839,172.0,57.9,-0.82486516
9.63,10.875,5.64,9.1,-1.1170138,134.0,28.6,-0.815034
9.74,11.006,4.7,9.08,-1.0849205,482.0,69.0,-0.7773671
9.456,10.559,5.27,9.21,-1.4058332,408.0,14.2,-0.3386994
8.739,10.375,5.91,9.29,-1.4637405,127.0,58.1,-0.5952538
9.008,10.809,5.61,9.07,-1.0634751,0.0,53.1,-0.35503626
9.732,10.823,3.69,8.91,0.6868781,404.0,74.5,-0.68542784
8.883,10.947,4.46,9.07,-0.7678898,207.0,49.7,-0.85255975
8.914,10.801,5.76,9.23,-1.3127328,0.0,52.7,-1.549549
9.49,9.786661,3.01,8.39,-0.46052617,197.0,59.9,-0.71270263
9.389,10.117,2.45,8.28,0.27876723,230.0,67.4,-3.1963863
8.768,10.591,4.9,9.13,-1.3233082,0.0,39.9,-4.24597
9.719,10.904,3.36,8.92,1.0903735,440.0,59.0,-3.64364
8.869,10.531,5.73,8.93,-1.488782,257.0,39.8,-0.9151096
9.244,10.225,3.15,8.33,-1.3625,121.0,25.3,-0.387488
8.73,10.524,5.88,9.37,-1.3325757,0.0,45.6,-0.9708757
9.286,11.147,6.13,9.19,-0.9819148,0.0,46.0,-0.9345524
9.72,10.433,3.14,8.61,-0.11497171,360.0,82.3,-3.314757
9.153,10.981,6.46,9.13,-1.0315068,0.0,61.5,-1.1752329
9.899,10.486,3.09,8.87,-1.289051,240.0,39.4,-3.572693
9.59,11.331,4.47,8.8,-0.8732877,123.0,35.5,-4.2602477
9.927,10.716,3.37,8.72,-0.14589752,419.0,84.2,-3.6304796
9.488,10.325,3.39,8.98,-1.4046052,294.0,48.9,-0.5635253
9.59,10.41,3.69,8.44,-0.15823914,260.0,61.2,-3.8289382
8.691,10.316,5.7,9.32,-1.3832417,0.0,59.9,-3.4634526
