features,num_features,val_mae
"iMAG,e_iMAG,logMsT,logSFR22,e_logMsT",5,inf
"iMAG,e_iMAG,logMsT,logSFR22,Dist",5,inf
"iMAG,e_iMAG,logMsT,logSFR22,RVel",5,inf
"iMAG,e_iMAG,logMsT,logSFR22,Ag",5,inf
"iMAG,e_iMAG,logMsT,logSFR22,Ai",5,inf
"iMAG,e_iMAG,logMsT,logSFR22,surface_brightness_proxy",5,inf
"iMAG,e_iMAG,logMsT,e_logMsT,Dist",5,inf
"iMAG,e_iMAG,logMsT,e_logMsT,RVel",5,inf
"iMAG,e_iMAG,logMsT,e_logMsT,Ag",5,inf
"iMAG,e_iMAG,logMsT,e_logMsT,Ai",5,inf
"iMAG,e_iMAG,logMsT,e_logMsT,surface_brightness_proxy",5,inf
"iMAG,e_iMAG,logMsT,Dist,RVel",5,inf
"iMAG,e_iMAG,logMsT,Dist,Ag",5,inf
"iMAG,e_iMAG,logMsT,Dist,Ai",5,inf
"iMAG,e_iMAG,logMsT,Dist,surface_brightness_proxy",5,inf
"iMAG,e_iMAG,logMsT,RVel,Ag",5,inf
"iMAG,e_iMAG,logMsT,RVel,Ai",5,inf
"iMAG,e_iMAG,logMsT,RVel,surface_brightness_proxy",5,inf
"iMAG,e_iMAG,logMsT,Ag,Ai",5,inf
"iMAG,e_iMAG,logMsT,Ag,surface_brightness_proxy",5,inf
"iMAG,e_iMAG,logMsT,Ai,surface_brightness_proxy",5,inf
"iMAG,e_iMAG,logSFR22,e_logMsT,Dist",5,inf
"iMAG,e_iMAG,logSFR22,e_logMsT,RVel",5,inf
"iMAG,e_iMAG,logSFR22,e_logMsT,Ag",5,inf
"iMAG,e_iMAG,logSFR22,e_logMsT,Ai",5,inf
"iMAG,e_iMAG,logSFR22,e_logMsT,surface_brightness_proxy",5,inf
"iMAG,e_iMAG,logSFR22,Dist,RVel",5,inf
"iMAG,e_iMAG,logSFR22,Dist,Ag",5,inf
"iMAG,e_iMAG,logSFR22,Dist,Ai",5,inf
"iMAG,e_iMAG,logSFR22,Dist,surface_brightness_proxy",5,inf
"iMAG,e_iMAG,logSFR22,RVel,Ag",5,inf
"iMAG,e_iMAG,logSFR22,RVel,Ai",5,inf
"iMAG,e_iMAG,logSFR22,RVel,surface_brightness_proxy",5,inf
"iMAG,e_iMAG,logSFR22,Ag,Ai",5,inf
"iMAG,e_iMAG,logSFR22,Ag,surface_brightness_proxy",5,inf
"iMAG,e_iMAG,logSFR22,Ai,surface_brightness_proxy",5,inf
"iMAG,e_iMAG,e_logMsT,Dist,RVel",5,inf
"iMAG,e_iMAG,e_logMsT,Dist,Ag",5,inf
"iMAG,e_iMAG,e_logMsT,Dist,Ai",5,inf
"iMAG,e_iMAG,e_logMsT,Dist,surface_brightness_proxy",5,inf
"iMAG,e_iMAG,e_logMsT,RVel,Ag",5,inf
"iMAG,e_iMAG,e_logMsT,RVel,Ai",5,inf
"iMAG,e_iMAG,e_logMsT,RVel,surface_brightness_proxy",5,inf
"iMAG,e_iMAG,e_logMsT,Ag,Ai",5,inf
"iMAG,e_iMAG,e_logMsT,Ag,surface_brightness_proxy",5,inf
