model_type,batch_size,features,layers,learning_rate,val_mae,core_layers,head_layers,dropout
bnn,128,"[""iMAG"", ""e_iMAG"", ""logMsT"", ""logSFR22"", ""e_logMsT""]",128-64,0.001,inf,,,
bnn,128,"[""iMAG"", ""e_iMAG"", ""logMsT"", ""logSFR22"", ""e_logMsT""]",128-64,0.0005,inf,,,
bnn,128,"[""iMAG"", ""e_iMAG"", ""logMsT"", ""logSFR22"", ""e_logMsT""]",128-64,0.0001,inf,,,
bnn,128,"[""iMAG"", ""e_iMAG"", ""logMsT"", ""logSFR22"", ""e_logMsT""]",256-128,0.001,inf,,,
bnn,128,"[""iMAG"", ""e_iMAG"", ""logMsT"", ""logSFR22"", ""e_logMsT""]",256-128,0.0005,inf,,,
bnn,128,"[""iMAG"", ""e_iMAG"", ""logMsT"", ""logSFR22"", ""e_logMsT""]",256-128,0.0001,inf,,,
bnn,128,"[""iMAG"", ""e_iMAG"", ""logMsT"", ""logSFR22"", ""e_logMsT""]",256-128-64,0.001,inf,,,
bnn,128,"[""iMAG"", ""e_iMAG"", ""logMsT"", ""logSFR22"", ""e_logMsT""]",256-128-64,0.0005,inf,,,
bnn,128,"[""iMAG"", ""e_iMAG"", ""logMsT"", ""logSFR22"", ""e_logMsT""]",256-128-64,0.0001,inf,,,
bnn,256,"[""iMAG"", ""e_iMAG"", ""logMsT"", ""logSFR22"", ""e_logMsT""]",128-64,0.001,inf,,,
bnn,256,"[""iMAG"", ""e_iMAG"", ""logMsT"", ""logSFR22"", ""e_logMsT""]",128-64,0.0005,inf,,,
bnn,256,"[""iMAG"", ""e_iMAG"", ""logMsT"", ""logSFR22"", ""e_logMsT""]",128-64,0.0001,inf,,,
bnn,256,"[""iMAG"", ""e_iMAG"", ""logMsT"", ""logSFR22"", ""e_logMsT""]",256-128,0.001,inf,,,
bnn,256,"[""iMAG"", ""e_iMAG"", ""logMsT"", ""logSFR22"", ""e_logMsT""]",256-128,0.0005,inf,,,
bnn,256,"[""iMAG"", ""e_iMAG"", ""logMsT"", ""logSFR22"", ""e_logMsT""]",256-128,0.0001,inf,,,
bnn,256,"[""iMAG"", ""e_iMAG"", ""logMsT"", ""logSFR22"", ""e_logMsT""]",256-128-64,0.001,inf,,,
bnn,256,"[""iMAG"", ""e_iMAG"", ""logMsT"", ""logSFR22"", ""e_logMsT""]",256-128-64,0.0005,inf,,,
bnn,256,"[""iMAG"", ""e_iMAG"", ""logMsT"", ""logSFR22"", ""e_logMsT""]",256-128-64,0.0001,inf,,,
dbnn,256,"[""iMAG"", ""e_iMAG"", ""logMsT"", ""logSFR22"", ""e_logMsT""]",,0.0005,inf,256-128,64,
dbnn,256,"[""iMAG"", ""e_iMAG"", ""logMsT"", ""logSFR22"", ""e_logMsT""]",,0.0001,inf,256-128,64,
dbnn,256,"[""iMAG"", ""e_iMAG"", ""logMsT"", ""logSFR22"", ""e_logMsT""]",,0.0005,inf,256-128,32,
dbnn,256,"[""iMAG"", ""e_iMAG"", ""logMsT"", ""logSFR22"", ""e_logMsT""]",,0.0001,inf,256-128,32,
dbnn,256,"[""iMAG"", ""e_iMAG"", ""logMsT"", ""logSFR22"", ""e_logMsT""]",,0.0005,inf,512-256,64,
dbnn,256,"[""iMAG"", ""e_iMAG"", ""logMsT"", ""logSFR22"", ""e_logMsT""]",,0.0001,inf,512-256,64,
dbnn,256,"[""iMAG"", ""e_iMAG"", ""logMsT"", ""logSFR22"", ""e_logMsT""]",,0.0005,inf,512-256,32,
dbnn,256,"[""iMAG"", ""e_iMAG"", ""logMsT"", ""logSFR22"", ""e_logMsT""]",,0.0001,inf,512-256,32,
dbnn,256,"[""iMAG"", ""e_iMAG"", ""logMsT"", ""logSFR22"", ""e_logMsT""]",,0.0005,inf,512-256-128,64,
dbnn,256,"[""iMAG"", ""e_iMAG"", ""logMsT"", ""logSFR22"", ""e_logMsT""]",,0.0001,inf,512-256-128,64,
