model,feature_set_rank,features,learning_rate,batch_size,layers,loss,mae,val_loss,val_mae,core_layers,head_layers,dropout
vanilla,3,"iMAG, e_iMAG, logMsT, logSFR22, e_logMsT, Dist, RVel, Ag, surface_brightness_proxy",0.001,64,256-128,0.09280066192150116,0.21509559452533722,0.09278737753629684,0.21508128941059113,,,0.1
vanilla,4,"iMAG, logMsT, logSFR22, e_logMsT, Dist, RVel, Ag, Ai, surface_brightness_proxy",0.001,64,256-128,0.09476812183856964,0.21544449031352997,0.09475386887788773,0.21542972326278687,,,0.1
vanilla,5,"logMsT, logSFR22, e_logMsT, Dist, RVel, Ag, Ai, surface_brightness_proxy",0.001,64,256-128,0.09457056224346161,0.21546103060245514,0.09455687552690506,0.2154475301504135,,,0.1
vanilla,2,"iMAG, e_iMAG, logMsT, logSFR22, e_logMsT, Dist, RVel, Ag, Ai, surface_brightness_proxy",0.001,64,256-128,0.0945085808634758,0.21555760502815247,0.09449487924575806,0.21554362773895264,,,0.1
vanilla,1,"iMAG, logMsT, logSFR22, e_logMsT, Dist, RVel, Ag, surface_brightness_proxy",0.001,64,256-128,0.09459932893514633,0.21644845604896545,0.09458626061677933,0.21643434464931488,,,0.1
dbnn,1,"iMAG, logMsT, logSFR22, e_logMsT, Dist, RVel, Ag, surface_brightness_proxy",0.0005,256,,673.585205078125,0.35311800241470337,633.5466918945312,0.2282547652721405,512-256,64,
bnn,1,"iMAG, logMsT, logSFR22, e_logMsT, Dist, RVel, Ag, surface_brightness_proxy",0.001,128,128-64,0.4186822474002838,0.3058522343635559,0.37539565563201904,0.23045098781585693,,,
bnn,3,"iMAG, e_iMAG, logMsT, logSFR22, e_logMsT, Dist, RVel, Ag, surface_brightness_proxy",0.001,128,128-64,0.4276987314224243,0.3071831166744232,0.3824401795864105,0.2305040955543518,,,
dbnn,3,"iMAG, e_iMAG, logMsT, logSFR22, e_logMsT, Dist, RVel, Ag, surface_brightness_proxy",0.0005,256,,2033.8333740234375,0.40302225947380066,1926.2984619140625,0.2323000580072403,512-256,128-64,
bnn,2,"iMAG, e_iMAG, logMsT, logSFR22, e_logMsT, Dist, RVel, Ag, Ai, surface_brightness_proxy",0.001,128,128-64,0.405010461807251,0.30468493700027466,0.36294758319854736,0.2331131398677826,,,
dbnn,2,"iMAG, e_iMAG, logMsT, logSFR22, e_logMsT, Dist, RVel, Ag, Ai, surface_brightness_proxy",0.0005,256,,2460.197021484375,0.370761513710022,2332.75732421875,0.23493675887584686,512-256,128-64,
dbnn,4,"iMAG, logMsT, logSFR22, e_logMsT, Dist, RVel, Ag, Ai, surface_brightness_proxy",0.001,256,,172.049560546875,0.40963226556777954,158.8614501953125,0.23937031626701355,256-128,64,
dbnn,5,"logMsT, logSFR22, e_logMsT, Dist, RVel, Ag, Ai, surface_brightness_proxy",0.001,256,,246.6155242919922,0.5136120319366455,229.35890197753906,0.24194669723510742,256-128,64,
bnn,5,"logMsT, logSFR22, e_logMsT, Dist, RVel, Ag, Ai, surface_brightness_proxy",0.0005,64,128-64,76.58999633789062,0.6195569634437561,69.1390151977539,0.25016263127326965,,,
bnn,4,"iMAG, logMsT, logSFR22, e_logMsT, Dist, RVel, Ag, Ai, surface_brightness_proxy",0.0005,64,128-64,77.62722778320312,0.6377615928649902,70.05411529541016,0.2513814866542816,,,
